year,sex,type_of_course,no_of_graduates
1993,Males,Education,na
1993,Males,Applied Arts,na
1993,Males,Humanities & Social Sciences,481
1993,Males,Mass Communication,na
1993,Males,Accountancy,295
1993,Males,Business & Administration,282
1993,Males,Law,92
1993,Males,Natural Physical & Mathematical Sciences,404
1993,Males,Medicine,95
1993,Males,Dentistry,14
1993,Males,Health Sciences,10
1993,Males,Information Technology,264
1993,Males,Architecture & Building,132
1993,Males,Engineering Sciences,1496
1993,Males,Services,na
1993,Females,Education,na
1993,Females,Applied Arts,na
1993,Females,Humanities & Social Sciences,1173
1993,Females,Mass Communication,na
1993,Females,Accountancy,396
1993,Females,Business & Administration,708
1993,Females,Law,93
1993,Females,Natural Physical & Mathematical Sciences,588
1993,Females,Medicine,61
1993,Females,Dentistry,11
1993,Females,Health Sciences,40
1993,Females,Information Technology,215
1993,Females,Architecture & Building,144
1993,Females,Engineering Sciences,254
1993,Females,Services,na
1994,Males,Education,na
1994,Males,Applied Arts,na
1994,Males,Humanities & Social Sciences,512
1994,Males,Mass Communication,na
1994,Males,Accountancy,271
1994,Males,Business & Administration,413
1994,Males,Law,87
1994,Males,Natural Physical & Mathematical Sciences,374
1994,Males,Medicine,99
1994,Males,Dentistry,23
1994,Males,Health Sciences,14
1994,Males,Information Technology,294
1994,Males,Architecture & Building,136
1994,Males,Engineering Sciences,1666
1994,Males,Services,na
1994,Females,Education,na
1994,Females,Applied Arts,na
1994,Females,Humanities & Social Sciences,1133
1994,Females,Mass Communication,na
1994,Females,Accountancy,378
1994,Females,Business & Administration,733
1994,Females,Law,99
1994,Females,Natural Physical & Mathematical Sciences,566
1994,Females,Medicine,66
1994,Females,Dentistry,6
1994,Females,Health Sciences,39
1994,Females,Information Technology,196
1994,Females,Architecture & Building,182
1994,Females,Engineering Sciences,227
1994,Females,Services,na
1995,Males,Education,12
1995,Males,Applied Arts,na
1995,Males,Humanities & Social Sciences,497
1995,Males,Mass Communication,na
1995,Males,Accountancy,289
1995,Males,Business & Administration,365
1995,Males,Law,94
1995,Males,Natural Physical & Mathematical Sciences,460
1995,Males,Medicine,93
1995,Males,Dentistry,20
1995,Males,Health Sciences,12
1995,Males,Information Technology,306
1995,Males,Architecture & Building,140
1995,Males,Engineering Sciences,1715
1995,Males,Services,na
1995,Females,Education,101
